feature,missed_mean,caught_mean,difference,missed_n,caught_n
age,35.03875968992248,24.827338129496404,10.211421560426075,387,4726
work_study_hours,6.664082687338501,7.849132458738891,-1.18504977140039,387,4726
pressure,3.028497409326425,3.864733276883997,-0.8362358675575718,386,4724
financial_stress,3.1834625322997416,3.7138624338624338,-0.5303999015626921,387,4725
is_student,0.23772609819121446,0.6718154887854423,-0.4340893905942278,387,4726
suicidal_thoughts,0.5478036175710594,0.8882776132035548,-0.34047399563249536,387,4726
degree_level,1.3152454780361758,0.9773497036409822,0.3378957743951936,387,4724
sleep_hours,6.363049095607235,6.089610664409649,0.2734384311975866,387,4726
satisfaction,2.784974093264249,2.5120609394837072,0.2729131537805416,386,4726
diet,0.9119170984455959,0.7299470899470899,0.18197000849850598,386,4725
cgpa,7.638695652173913,7.717240075614366,-0.07854442344045243,92,3174
family_history,0.4883720930232558,0.5207363520947947,-0.03236425907153895,387,4726
gender_male,0.5633074935400517,0.5584003385526872,0.004907154987364493,387,4726
