feature,importance,std
age,0.14246350029609628,0.002330156470838574
suicidal_thoughts,0.026990479827798675,0.0002907575600443992
pressure,0.016892362116323122,0.0004664668942962666
financial_stress,0.009880041924950244,0.00017107662392806556
satisfaction,0.005860736226525743,0.0002783185547994174
profession,0.0039755386772852615,0.00031071250487310257
work_study_hours,0.003945017274128926,0.0001636543077407806
diet,0.002711595859488747,0.00010989843269999755
is_student,0.0026308379339312626,0.00020055327626452627
sleep_hours,0.000927786954677523,9.578425752157884e-05
family_history,0.00017047140071486667,8.940985511128527e-05
cgpa,8.8103956332386e-05,4.100413768978337e-05
degree_level,2.540321822739333e-05,2.2081743073591598e-05
gender_male,6.055867663889991e-06,2.224534351144783e-05
city,-2.667554498192448e-05,0.0001182754526280047
